row_id,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__homicides_per_100k,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr
27,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Mining-dependent,0.525,0.042,0.332,0.2,0.472,0.299,0.103,0.645,0.021,0.312,0.007,0.011,0.3188118811881188,0.3712871287128713,0.20594059405940593,0.10396039603960396,16.0,5.0,0.296,,0.091,0.058,,0.269,11.0,,,,1729.0,a
29,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.46,0.066,0.158,0.065,0.513,0.247,0.163,0.024,0.057,0.883,0.0,0.001,0.07837301587301587,0.4097222222222222,0.31646825396825395,0.19543650793650794,11.0,11.0,0.306,0.232,0.103,0.087,0.181,0.282,8.0,,18.63,2389.0,2100.0,a
35,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.531,0.061,0.307,0.125,0.512,0.223,0.152,0.276,0.274,0.399,0.0,0.043,0.10885045778229907,0.271617497456765,0.30417090539165814,0.3153611393692777,12.0,8.0,0.25,0.146,0.089,0.08,0.154,0.228,11.0,5.3,11.28,1479.0,1339.0,a
36,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.463,0.064,0.197,0.061,0.532,0.198,0.134,0.037,0.285,0.618,0.0,0.022,0.11213047910295616,0.24362895005096838,0.3078491335372069,0.3363914373088685,13.0,10.0,0.339,0.245,0.114,0.072,0.175,0.268,13.0,2.37,7.130000000000001,1159.0,779.0,b
37,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.632,0.031,0.153,0.056,0.499,0.143,0.14,0.151,0.049,0.411,0.002,0.338,0.12701612903225806,0.12600806451612903,0.2096774193548387,0.5372983870967742,11.0,7.0,0.146,0.102,0.063,0.063,0.213,0.154,8.0,6.2,3.55,709.0,620.0,a
39,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.657,0.039,0.136,0.039,0.49,0.213,0.175,0.013,0.001,0.964,0.0,0.008,0.0903674280039722,0.35352532274081433,0.35650446871896724,0.1996027805362463,10.0,10.0,0.313,0.203,0.114,0.065,0.26,0.27,13.0,,20.29,3609.0,2910.0,a
42,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.499,0.044,0.145,0.025,0.506,0.226,0.131,0.042,0.107,0.784,0.001,0.014,0.06779661016949153,0.22033898305084743,0.3529411764705882,0.35892323030907275,12.0,8.0,0.286,0.183,0.081,0.08,0.163,0.19,13.0,3.5,8.87,1509.0,1039.0,a
43,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Farm-dependent,0.451,0.059,0.208,0.085,0.514,0.217,0.152,0.011,0.325,0.622,0.005,0.0,0.15575396825396826,0.36607142857142855,0.34523809523809523,0.13293650793650794,10.0,7.0,0.337,,0.137,0.111,,0.303,12.0,,27.93,11929.0,12039.0,b
44,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.525,0.046,0.136,0.033,0.512,0.242,0.144,0.072,0.012,0.893,0.013,0.0,0.1143141153081511,0.35685884691848907,0.33001988071570576,0.1988071570576541,13.0,9.0,0.347,0.218,0.108,0.08,0.212,0.285,9.0,2.7,11.85,2099.0,2159.0,a
45,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.332,0.088,0.196,0.043,0.527,0.219,0.213,0.014,0.433,0.564,0.005,0.002,0.2386138613861386,0.36435643564356435,0.27821782178217824,0.1188118811881188,11.0,13.0,0.407,0.193,0.171,0.113,,0.341,13.0,,45.99,2230.0,2719.0,a
46,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.472,0.05,0.319,0.152,0.488,0.273,0.136,0.18,0.015,0.766,0.005,0.009,0.17746759720837485,0.3090727816550349,0.3409770687936191,0.17248255234297105,13.0,8.0,0.324,0.203,0.129,0.079,0.188,0.289,10.0,2.95,21.13,3120.0,2209.0,b
47,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.617,0.033,0.121,0.041,0.509,0.219,0.207,0.022,0.0,0.955,0.007,0.01,0.08542713567839195,0.3537688442211055,0.3728643216080402,0.18793969849246228,12.0,12.0,0.3,0.232,0.094,0.095,,0.28,11.0,,21.84,3040.0,1520.0,a
49,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Federal/State government-dependent,0.443,0.057,0.146,0.055,0.465,0.19,0.197,0.034,0.025,0.914,0.002,0.0,0.10552763819095476,0.436180904522613,0.26030150753768844,0.1979899497487437,8.0,11.0,0.325,0.187,0.123,0.067,0.183,0.237,12.0,3.3,16.19,1979.0,2160.0,a
51,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.555,0.028,0.176,0.072,0.507,0.224,0.138,0.046,0.0,0.928,0.0,0.011,0.0671273445212241,0.28627838104639686,0.36130306021717673,0.28529121421520237,17.0,10.0,0.297,0.16,0.083,0.062,,0.233,13.0,,26.56,2069.0,1590.0,b
52,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.531,0.044,0.114,0.061,0.521,0.292,0.089,0.05,0.038,0.865,0.008,0.053,0.04780876494023904,0.1553784860557769,0.2390438247011952,0.5577689243027889,13.0,5.0,0.212,0.122,0.075,0.07,0.188,0.195,13.0,0.08000000000000007,5.01,1360.0,720.0,b
55,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.526,0.043,0.153,0.081,0.508,0.24,0.142,0.078,0.086,0.82,0.005,0.007,0.08459214501510576,0.2849949647532729,0.297079556898288,0.33333333333333337,12.0,8.0,0.281,0.167,0.11,0.059,0.158,0.207,13.0,3.58,14.68,1910.0,2059.0,b
56,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.432,0.054,0.265,0.076,0.501,0.248,0.126,0.049,0.234,0.659,0.004,0.03,0.1444332998996991,0.2928786359077232,0.3550651955867603,0.20762286860581747,14.0,9.0,0.327,0.264,0.127,0.101,0.16,0.289,12.0,9.4,19.64,1410.0,1899.0,a
58,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.513,0.086,0.164,0.03,0.494,0.232,0.172,0.09,0.018,0.886,0.0,0.013,0.11710794297352344,0.37983706720977595,0.3452138492871691,0.15784114052953158,11.0,11.0,0.292,0.22,0.1,0.079,0.242,0.28,13.0,0.26,17.26,2310.0,2219.0,b
61,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.341,0.073,0.316,0.128,0.491,0.3,0.134,0.046,0.408,0.481,0.071,0.004,0.25176233635448136,0.35347432024169184,0.2789526686807654,0.11581067472306143,13.0,11.0,0.36,0.269,0.154,0.131,0.119,0.396,13.0,11.26,30.87,6259.0,7849.0,b
64,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.441,0.059,0.283,0.114,0.454,0.217,0.13,0.141,0.357,0.471,0.029,0.009,0.2560240963855422,0.3132530120481928,0.3253012048192771,0.10542168674698794,10.0,10.0,0.323,,0.12,0.119,,0.272,12.0,5.85,22.28,2969.0,10770.0,b
66,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.414,0.067,0.337,0.099,0.496,0.275,0.139,0.533,0.014,0.437,0.019,0.009,0.2142131979695431,0.27411167512690354,0.3299492385786802,0.18172588832487307,14.0,10.0,0.306,0.219,0.108,0.091,0.149,0.268,9.0,12.94,21.25,3209.0,1339.0,b
68,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.505,0.076,0.139,0.046,0.519,0.239,0.137,0.048,0.087,0.8,0.0,0.025,0.08682926829268293,0.34439024390243905,0.2839024390243903,0.28487804878048784,10.0,9.0,0.283,0.189,0.092,0.084,0.181,0.251,11.0,1.5299999999999998,9.8,2510.0,1740.0,b
69,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.37,0.079,0.268,0.116,0.489,0.206,0.227,0.147,0.011,0.775,0.046,0.02,0.12714429868819374,0.2542885973763875,0.43794147325933397,0.18062563067608473,6.0,11.0,0.246,,0.093,0.069,,0.215,10.0,,24.42,1299.0,3099.0,a
71,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.448,0.084,0.221,0.095,0.501,0.219,0.161,0.002,0.004,0.974,0.004,0.001,0.16417910447761194,0.4378109452736318,0.290547263681592,0.10746268656716416,11.0,11.0,0.36,0.32,0.103,0.059,0.229,0.31,14.0,,23.21,7189.0,5370.0,b
72,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.572,0.032,0.162,0.052,0.499,0.239,0.169,0.024,0.007,0.941,0.022,0.003,0.0887991927346115,0.2744702320887992,0.36730575176589303,0.2694248234106963,14.0,10.0,0.324,0.138,0.081,0.07,0.139,0.253,12.0,,12.58,1710.0,1089.0,b
73,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.404,0.061,0.247,0.055,0.511,0.212,0.19,0.034,0.087,0.847,0.01,0.01,0.19960668633235007,0.37758112094395285,0.2969518190757129,0.12586037364798427,12.0,13.0,0.351,0.325,0.124,0.09,0.121,0.315,13.0,7.1,26.82,13359.0,4480.0,a
74,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.441,0.079,0.244,0.11,0.519,0.17,0.223,0.08,0.0,0.847,0.039,0.011,0.1057884231536926,0.28443113772455086,0.37425149700598803,0.23552894211576844,10.0,12.0,0.278,0.238,0.122,0.051,0.191,0.181,9.0,,12.83,1869.0,1639.0,b
76,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.483,0.099,0.262,0.099,0.512,0.216,0.187,0.047,0.018,0.908,0.002,0.014,0.13916500994035785,0.3508946322067594,0.3240556660039762,0.18588469184890655,12.0,10.0,0.31,0.318,0.114,0.084,0.106,0.295,11.0,3.89,22.32,3209.0,1249.0,b
78,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.432,0.065,0.216,0.058,0.517,0.219,0.171,0.032,0.037,0.9,0.002,0.001,0.1661631419939577,0.42497482376636453,0.2527693856998993,0.15609264853977844,11.0,12.0,0.337,0.228,0.127,0.082,0.058,0.361,13.0,3.0,20.9,2610.0,2090.0,a
79,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.463,0.056,0.195,0.077,0.512,0.214,0.186,0.039,0.13,0.808,0.0,0.003,0.12401574803149606,0.34251968503937,0.27952755905511806,0.25393700787401574,11.0,11.0,0.327,0.197,0.122,0.071,0.174,0.269,13.0,4.5,22.5,4979.0,1539.0,b
82,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.422,0.049,0.176,0.111,0.443,0.235,0.202,0.028,0.006,0.922,0.024,0.0,0.06659939455095863,0.34813319878910187,0.42885973763874874,0.15640766902119072,10.0,6.0,0.258,,0.102,,,0.182,12.0,,,,,a
86,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.771,0.03,0.236,0.136,0.51,0.214,0.263,0.007,0.0,0.998,0.004,0.0,0.08232931726907632,0.4186746987951807,0.34337349397590367,0.15562248995983935,5.0,9.0,0.268,0.139,0.105,,0.165,0.389,12.0,,,,,b
87,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.481,0.033,0.263,0.097,0.501,0.251,0.15,0.105,0.032,0.767,0.031,0.02,0.1345202769535114,0.34619188921859545,0.2977250247279921,0.22156280909990111,15.0,10.0,0.351,0.233,0.114,0.077,0.146,0.287,10.0,2.9,18.66,1880.0,1740.0,a
89,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.475,0.045,0.203,0.067,0.529,0.254,0.129,0.022,0.182,0.77,0.004,0.011,0.09726443768996962,0.26747720364741645,0.34650455927051677,0.2887537993920973,13.0,7.0,0.344,0.203,0.117,0.106,0.134,0.3,12.0,3.1100000000000003,21.16,1849.0,1429.0,b
90,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.545,0.02,0.191,0.05,0.509,0.175,0.173,0.013,0.004,0.919,0.004,0.023,0.07707707707707707,0.28528528528528524,0.24924924924924924,0.3883883883883884,8.0,9.0,0.266,0.165,0.091,0.061,0.183,0.177,11.0,1.9,10.81,1310.0,529.0,a
91,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.576,0.029,0.131,0.08,0.505,0.207,0.231,0.047,0.007,0.941,0.013,0.006,0.07070707070707072,0.3898989898989899,0.34747474747474744,0.19191919191919193,11.0,15.0,0.282,0.143,0.081,0.073,0.238,0.292,10.0,,,1889.0,1150.0,a
92,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Recreation,0.387,0.126,0.196,0.076,0.482,0.133,0.292,0.002,0.009,0.965,0.024,0.0,0.08917835671342685,0.40480961923847697,0.35571142284569135,0.1503006012024048,5.0,16.0,0.345,,0.146,,,0.233,10.0,,24.11,2159.0,2190.0,b
93,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.502,0.058,0.156,0.07,0.506,0.256,0.142,0.026,0.009,0.942,0.001,0.005,0.06163021868787276,0.33101391650099404,0.3240556660039762,0.283300198807157,11.0,8.0,0.285,0.202,0.096,0.078,0.168,0.251,13.0,,12.51,2649.0,1410.0,b
97,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Recreation,0.393,0.067,0.324,0.126,0.501,0.195,0.231,0.095,0.014,0.872,0.001,0.017,0.2017982017982018,0.33166833166833165,0.2877122877122877,0.1788211788211788,9.0,10.0,0.245,0.273,0.114,0.088,0.161,0.312,13.0,,19.48,5510.0,919.0,b
99,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.44,0.061,0.213,0.091,0.464,0.224,0.151,0.027,0.039,0.898,0.009,0.0,0.15338042381432895,0.4248234106962664,0.3007063572149344,0.12108980827447023,11.0,9.0,0.336,0.307,0.115,0.072,0.189,0.292,13.0,,25.42,5700.0,6100.0,b
100,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.354,0.072,0.217,0.055,0.499,0.204,0.185,0.004,0.242,0.726,0.007,0.018,0.25301204819277107,0.3433734939759036,0.27409638554216864,0.12951807228915663,13.0,15.0,0.353,0.302,0.125,0.105,,0.351,14.0,,30.83,6970.0,1350.0,b
101,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.46,0.059,0.242,0.068,0.494,0.205,0.199,0.011,0.006,0.979,0.008,0.01,0.1852970795568983,0.48338368580060426,0.2286002014098691,0.1027190332326284,9.0,11.0,0.328,0.303,0.135,0.082,,0.348,13.0,,24.49,10340.0,3430.0,b
105,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.478,0.049,0.254,0.103,0.495,0.222,0.21,0.02,0.005,0.946,0.014,0.008,0.1354581673306773,0.4193227091633466,0.2928286852589641,0.15239043824701196,9.0,14.0,0.367,,0.136,0.057,,0.311,9.0,,38.16,7569.0,1889.0,a
106,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.708,0.008,0.171,0.104,0.507,0.223,0.207,0.156,0.003,0.837,0.007,0.004,0.1141078838174274,0.29771784232365145,0.32676348547717843,0.26141078838174275,14.0,9.0,0.314,,0.113,,,0.293,13.0,,,,1289.0,a
107,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.398,0.082,0.264,0.08,0.493,0.248,0.147,0.028,0.318,0.637,0.003,0.01,0.23316582914572864,0.41005025125628136,0.21306532663316582,0.14371859296482412,13.0,7.0,0.342,0.221,0.117,0.106,,0.309,13.0,,30.4,6710.0,,a
111,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Federal/State government-dependent,0.465,0.069,0.257,0.044,0.512,0.203,0.115,0.054,0.597,0.306,0.006,0.034,0.14781746031746032,0.23511904761904762,0.2648809523809524,0.35218253968253965,13.0,9.0,0.303,0.197,0.116,0.122,0.199,0.279,12.0,47.0,13.89,1590.0,1140.0,a
112,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.498,0.052,0.243,0.096,0.521,0.18,0.232,0.088,0.106,0.76,0.0,0.035,0.10238568588469184,0.29224652087475145,0.31312127236580517,0.29224652087475145,9.0,13.0,0.24,0.195,0.113,0.082,0.173,0.197,11.0,4.8,12.99,1579.0,1150.0,a
114,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.486,0.046,0.22,0.085,0.51,0.253,0.119,0.062,0.178,0.715,0.0,0.015,0.118,0.313,0.291,0.278,12.0,7.0,0.272,0.161,0.102,0.067,0.159,0.261,13.0,3.7,10.37,2830.0,2210.0,a
115,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Mining-dependent,0.519,0.038,0.217,0.093,0.509,0.236,0.223,0.057,0.015,0.918,0.013,0.0,0.11256281407035175,0.36783919597989945,0.32361809045226125,0.19597989949748743,15.0,14.0,0.292,0.232,0.108,0.063,0.115,0.36,10.0,,48.3,1510.0,1990.0,b
