id,gender,postal_code,poisson,stocks,university,country
58,Female,69395 CEDEX 03,5,$6.37B,Ecole Nationale Supérieure de Biologie Appliquée à la Nutrition et à l'Alementation,France
59,Male,17014 CEDEX 1,7,$1.59B,Université Sorbonne-Nouvelle (Paris III),France
60,Male,76804 CEDEX,3,$5.84B,Ecole Centrale de Lille,France
61,Male,94946 CEDEX 9,5,$471.11M,Université Bordeaux I,France
62,Male,22339,8,$87.97B,Europäische Betriebswirtschafts-Akademie,Germany
63,Male,3224,5,n/a,Delft University of Technology,Netherlands
64,Female,8029,2,$45.23B,Dutch Delta University,Netherlands
65,Male,06403 CEDEX,5,$2.9B,Université d'Auvergne (Clermont-Ferrand I),France
66,Female,17209 CEDEX,5,n/a,Université Paris Sud (Paris XI),France
67,Female,44159 CEDEX,7,$4.9M,Université de Savoie,France
68,Male,42355 CEDEX,4,$26.56M,Université Jean Moulin (Lyon III),France
69,Male,L-9359,7,n/a,International University Institute of Luxembourg,Luxembourg
70,Female,77544 CEDEX,3,n/a,Ecole Nationale Supérieur de Mécaniques et des Microtechniques,France
71,Male,34940 CEDEX 9,9,n/a,Ecole Nationale Supérieure de Physique de Marseille,France
72,Male,95109 CEDEX,5,$11.65B,Ecole Supérieure d'Ingénieurs en Génie Electrique,France
73,Male,42897,4,$2.61B,"Fachhochschule Schwäbisch Hall, Hochschule für Gestaltung",Germany
74,Female,7319,8,$2.05B,Saxion Universities ,Netherlands
75,Male,1049,3,$131.24M,Roosevelt Academy University College,Netherlands
76,Male,92174 CEDEX,9,$149.83M,Ecole Centrale de Lille,France
77,Female,35704 CEDEX 7,5,$480.35M,Université de Savoie,France
78,Male,17189 CEDEX,1,$317.23M,Université de Pau et des Pays de l'Adour,France
79,Female,8024,6,$63.62M,Hogeschool Rotterdam,Netherlands
80,Male,8019,4,$103.85M,University of Amsterdam,Netherlands
81,Male,41355 CEDEX,6,n/a,Université Panthéon-Sorbonne (Paris I),France
82,Male,07209 CEDEX,6,$842.24M,Ecole Centrale d'Electronique - ECE,France
83,Female,22004 CEDEX 1,8,$1.63B,Ecole Nationale d'Ingénieurs de Metz,France
84,Female,07204 CEDEX,3,$3.56B,Ecole Polytechnique Marseille,France
85,Male,79072 CEDEX 9,7,$10.13B,Institut Textile et Chimique de Lyon,France
86,Male,80031 CEDEX 1,6,$5.21B,Ecole Supérieure d'Ingénieurs et de Techniciens pour l'Agriculture,France
87,Female,59407 CEDEX,7,$32.63M,"Ecole Nationale Supérieure en Electrotechnique, Electronique, Informatique et Hydraulique de Toulouse",France
88,Male,91169 CEDEX,5,$1.64B,Conservatoire National des Arts et Métiers,France
89,Male,58004 CEDEX,3,$411.91M,Université Paris-Sorbonne (Paris IV),France
90,Male,81028 CEDEX 9,4,$76.54M,Ecole Supérieure des Techniques Industrielles et des Textiles,France
91,Male,6804,8,$326.61M,Tilburg University,Netherlands
92,Female,92691 CEDEX,4,$128.18M,Institut National des Sciences Appliquées de Rouen,France
93,Male,3004,5,n/a,Roosevelt Academy University College,Netherlands
94,Male,11860 CEDEX 9,5,$650.54M,Université de Marne la Vallée,France
95,Male,44804 CEDEX,6,$37.26M,Ecole Nationale des Travaux Publics de l'Etat,France
96,Female,64039 CEDEX,3,$6.1B,Ecole Nationale Supérieure des Telecommunications de Paris,France
97,Male,38816 CEDEX 1,4,$3.53B,Ecole Supérieure de Chimie Organique et Minérale,France
98,Male,91194 CEDEX,7,$1.43B,Ecole Supérieure de Commerce de Lyon,France
99,Female,30942 CEDEX 9,4,$975.82M,Ecole Supérieure des Sciences Commerciales d'Angers,France
100,Male,6404,4,$99.43M,Christelijke Hogeschool Windesheim,Netherlands
101,Female,L-6231,9,n/a,University of Luxemburg,Luxembourg
102,Male,24109,3,$905.69M,Katholische Hochschule für Soziale Arbeit Saarbrücken,Germany
103,Female,69644 CEDEX,7,$5.79B,Institut Catholique d'Arts et Métiers Lille,France
104,Male,13347,6,n/a,Fachhochschule Niederrhein,Germany
105,Female,77544 CEDEX,7,$320.72M,Ecole Nationale Supérieure d'Agronomie de Rennes,France
106,Female,67928 CEDEX 9,4,$83.18M,Ecole Nationale Vétérinaire de Lyon,France
107,Male,56274 CEDEX,4,$313.17M,Ecole Nationale Supérieure des Mines de Douai,France
108,Male,41004 CEDEX,7,n/a,Ecole pour les Etudes et la Recherche en Informatique et Electronique,France
109,Male,06293 CEDEX 3,5,$49.09M,Ecole Normale Supérieure de Lyon,France
110,Male,38524 CEDEX,4,$71.22M,Université de Technologie de Troyes,France
111,Female,22104 CEDEX,6,n/a,Ecole Nationale Vétérinaire de Toulouse,France
112,Female,2309,1,$126.08M,Zuyd University,Netherlands
113,Female,95032 CEDEX,3,$563.5M,Université du Littoral Cote d'Opale,France
114,Female,75326 CEDEX 07,6,$21.61B,"Université du Sud, Toulon et Var",France
115,Male,14804 CEDEX,6,$32.39B,Ecole Nationale Supérieure d'Ingénieurs en Mécanique et Energétique de Valenciennes,France
116,Female,13095 CEDEX 2,8,$69.3M,"Ecole Européenne de Chimie, Polymères et Matériaux de Strasbourg",France
117,Female,75976 CEDEX 20,7,$6.89B,Université de Metz,France
118,Female,3764,6,n/a,Islamic University of Rotterdam,Netherlands
119,Female,L-9184,8,$685.06M,International University Institute of Luxembourg,Luxembourg
120,Male,67454 CEDEX,8,$3.61B,Université Paul Sabatier (Toulouse III),France
121,Female,37554 CEDEX,1,$370.68M,"British Institute in Paris, University of London",France
122,Female,44265 CEDEX 2,5,$42.87B,Ecole Supérieure d'Ingénieurs en Génie Electrique,France
123,Female,7536,4,$128.88M,Katholieke Universiteit Brussel,Belgium
124,Female,1504,8,n/a,NHL University of Applied Sciences,Netherlands
125,Male,94149 CEDEX,7,$158.07M,Institut Supérieur d'Agriculture Lille,France
126,Female,85109 CEDEX,8,$7.24B,IDRAC (Institut de recherche en action commerciale),France
127,Female,70004 CEDEX,9,$54.38M,Ecole Spéciale de Mécanique et d'Electricité,France
128,Male,10004 CEDEX,4,n/a,Université Denis Diderot (Paris VII),France
129,Male,06116 CEDEX,4,$38.81B,Grenoble Ecole de Management,France
130,Female,75312 CEDEX 09,3,$1.21B,Ecole Nationale Supérieure des Industries Chimiques de Nancy,France
131,Male,7609,7,$508.59M,Wageningen University,Netherlands
132,Female,06721 CEDEX,5,$102.3M,Université François Rabelais de Tours,France
133,Female,69339 CEDEX 02,6,$2.41B,Université d'Artois,France
134,Male,2264,4,$220.34M,Leiden University,Netherlands
135,Male,80804,3,$1B,Fachhochschule Bochum,Germany
136,Male,25086 CEDEX 9,6,$7.82B,Ecole Nationale des Ponts et Chausees,France
137,Female,92061 CEDEX,7,$9.48B,Ecole Nationale Supérieure d'Agronomie de Montpellier,France
138,Female,94254 CEDEX,7,$276.46M,Ecole Supérieure de Commerce de Reims,France
139,Male,77404 CEDEX,5,$5.35B,Ecole Supérieure de Chimie Organique et Minérale,France
140,Female,50309 CEDEX,4,$175.26M,Université de Rouen - Haute Normandie,France
141,Female,83404 CEDEX,5,$979.78M,Ecole Superieur d'Ingenieurs Leonard de Vinci,France
142,Female,21806 CEDEX,4,$905.46M,Centre d'Etudes Supérieures des Techniques Industrielles,France
143,Male,62411 CEDEX,7,$2.31B,Conservatoire National des Arts et Métiers,France
144,Male,57509 CEDEX,6,$8.14B,Université Val-de-Marne (Paris XII),France
145,Female,91104 CEDEX,2,n/a,Université de Toulouse-le-Mirail (Toulouse II),France
146,Male,5009,7,$12.41B,Open University of the Netherlands,Netherlands
147,Female,13937 CEDEX 20,5,$2.84B,Ecole Supérieure de Commerce de Bordeaux,France
148,Male,60309 CEDEX,5,$38.81B,Ecole Nationale Supérieure de Chimie de Toulouse,France
149,Male,93909 CEDEX 9,8,$23.23B,Ecole Universitaire d'Ingénieurs de Lille,France
150,Female,L-8295,7,$183.56M,International University Institute of Luxembourg,Luxembourg
151,Female,94726 CEDEX,7,$681.44M,Université Stendhal (Grenoble III),France
152,Female,67975 CEDEX 9,4,$7.54B,Ecole Nationale Supérieure de Techniques Avancées,France
153,Male,89010 CEDEX,5,$8.45B,American University of Paris,France
154,Male,14199,5,$847.88M,"Philosophisch-Theologisches Studium Erfurt, Staatlich anerkannte Wissenschaftliche Hochschule",Germany
155,Male,75638 CEDEX 13,4,$1.01B,Ecole Nationale Supérieure de Physique de Grenoble,France
156,Female,35022 CEDEX 2,4,$179.38M,Université Panthéon-Sorbonne (Paris I),France
157,Male,L-6834,4,$128.91M,International University Institute of Luxembourg,Luxembourg
158,Female,86083 CEDEX 9,5,$1.8B,Université de Rouen - Haute Normandie,France
159,Female,95874 CEDEX,3,n/a,Ecole Normale Supérieure de Lyon,France
160,Male,13662 CEDEX,8,$475.98M,Université Panthéon-Sorbonne (Paris I),France
161,Female,83484 CEDEX,6,$14.1M,Université Charles-de-Gaulle (Lille III),France
162,Female,70004 CEDEX,3,$51.88B,Institut des Sciences de l'Ingénieur de Clermont-Ferrand,France
163,Male,6414,6,$592.24M,Radboud University of Nijmegen,Netherlands
164,Female,22179,7,$1.88B,Fachhochschule Münster,Germany
165,Female,14922 CEDEX 9,3,$157.5M,Université de Pau et des Pays de l'Adour,France
166,Female,69464 CEDEX 06,5,$320.21M,Université de Toulouse,France
167,Male,38066 CEDEX 2,6,$26.13M,Ecole Supérieure des Sciences Commerciales d'Angers,France
168,Female,13681 CEDEX,8,n/a,"Ecole Nationale Supérieure en Electrotechnique, Electronique, Informatique et Hydraulique de Toulouse",France
169,Female,56274 CEDEX,4,$854.42M,ENIC Telecom Lille 1,France
170,Male,75215 CEDEX 16,5,$243.18M,"Ecole Nationale Supérieure d'Electronique, d'Electrotechnique, d'Informatique et d'Hydraulique de Toulouse",France
171,Male,70374,3,$2.84B,"International School of New Media, University of Lübeck",Germany
172,Female,5349,7,$49.63B,De Haagse Hogeschool,Netherlands
173,Female,69794 CEDEX,2,n/a,Ecole Nationale Supérieure d'Electronique et de Radioelectricite de Bordeaux,France
174,Male,03006 CEDEX,8,$1.6B,Ecole Nationale des Travaux Publics de l'Etat,France
175,Female,L-6693,4,$814.95M,University of Luxemburg,Luxembourg
176,Female,71332 CEDEX,6,n/a,Institut d'Etudes Politiques de Paris (Sciences Po),France
177,Female,21051 CEDEX,4,$927.6M,Ecole Supérieure d'Ingénieurs en Electronique et Electrotechnique,France
178,Male,44307 CEDEX 3,3,$737.25M,Ecole Nationale de l'Aviation Civile,France
179,Female,59463 CEDEX,4,$35.76B,Institut Supérieur d'Agriculture Rhone-Alpes,France
180,Male,94525 CEDEX 1,4,$445.1M,Ecole Nationale d'Administration,France
181,Male,93883 CEDEX,4,$123.88B,Ecole Nationale Supérieure des Telecommunications de Paris,France
182,Female,22204 CEDEX,5,$236.5M,Ecole Nationale Supérieure de Chimie de Lille,France
183,Male,L-9780,3,$939.02M,International University Institute of Luxembourg,Luxembourg
184,Male,54939 CEDEX 9,8,$3.79B,Ecole Nationale Supérieure de Biologie Appliquée à la Nutrition et à l'Alementation,France
185,Male,67137 CEDEX,10,$6.71B,Ecole Nationale Supérieure d'Electronique et de Radioelectricite de Grenoble,France
186,Male,92645 CEDEX,3,$9.15B,Ecole Nationale d'Ingénieurs de Saint-Etienne,France
187,Male,38106,4,$6.28B,"Fachhochschule Kempten, Hochschule für Technik und Wirtschaft",Germany
188,Female,94525 CEDEX 1,4,$1.97B,Ecole des Hautes Etudes Industrielles de Lille,France
189,Female,2029,5,$772.29M,UNESCO-IHE Institute for Water Education,Netherlands
190,Male,38030 CEDEX 2,8,$13.85B,Ecole Européen des Affaires,France
191,Female,78093 CEDEX 9,5,$121.38M,Ecole Nationale d'Ingénieurs des Travaux Agricoles de Bordeaux,France
192,Female,78165 CEDEX,6,n/a,European Management Center Paris,France
193,Male,42055 CEDEX 2,10,$1.87B,Université du Littoral Cote d'Opale,France
194,Male,56019 CEDEX,4,$1.5B,Ecole Supérieure de Commerce de Lille,France
195,Male,20292 CEDEX,2,$2.85B,Ecole Centrale d'Electronique - ECE,France
196,Male,20359,4,$83.27M,Freie Kunst-Studienstätte Ottersberg,Germany
197,Male,13456 CEDEX 13,5,$23.35M,Université de Bretagne Sud,France
198,Female,93487 CEDEX,2,$189.23B,Institut Catholique d'Arts et Métiers Nantes,France
199,Female,29825 CEDEX 9,8,$309.13M,Ecole Nationale Supérieure de Chimie et de Physique de Bordeaux,France
200,Female,93164 CEDEX,7,$99.64M,Université Michel de Montaigne (Bordeaux III ),France
201,Female,73091 CEDEX,4,$536.92M,Institut d'Etudes Politiques de Bordeaux,France
202,Female,77294 CEDEX,6,$12.15B,Ecole Supérieure de Commerce de Rouen,France
203,Male,49309 CEDEX,6,$618.48M,Ecole Normale Supérieure de Lyon,France
204,Male,3004,5,n/a,Hogeschool Rotterdam,Netherlands
205,Female,80891 CEDEX 3,8,$1.9B,Ecole Supérieure de Commerce de Sophia Antipolis,France
206,Female,92787 CEDEX 9,5,$8.73B,Université des Sciences et Technologies de Lille (Lille I),France
207,Male,29193 CEDEX,5,$1.49B,ENIC Telecom Lille 1,France
208,Female,94434 CEDEX,7,$666.52M,Ecole Nationale Supérieure de Chimie de Rennes,France
209,Male,2170,7,n/a,European International University,Belgium
210,Female,31709 CEDEX,4,$1.73B,Université d'Angers,France
211,Female,68947 CEDEX 9,4,$73.79M,Université Jean Monnet,France
212,Female,80020 CEDEX 9,3,$374.11M,Ecole Supérieure d'Ingénieurs en Electronique et Electrotechnique,France
213,Female,64080 CEDEX,7,n/a,Ecole Nationale de l'Aviation Civile,France
214,Male,76029 CEDEX,9,n/a,Université de la Méditerranée (Aix Marseille II),France
215,Female,2304,4,$3.61B,European Open University,Netherlands
216,Male,90009 CEDEX,3,n/a,Université de Nantes,France
217,Female,77453 CEDEX 2,5,$1.55B,Ecole Nationale Supérieure de Techniques Avancées,France
218,Female,63409 CEDEX,4,$115.54M,Université de Franche-Comté,France
219,Female,95219 CEDEX,5,$46.21B,Ecole Nationale Superieure d'Informatique et de Mathematiques Appliquees de Grenoble,France
220,Male,92521 CEDEX,5,$207.26M,Université de Bretagne Sud,France
221,Female,57119 CEDEX,7,$94.54M,Ecole Nationale Supérieure des Arts et Industries de Strasbourg,France
222,Female,38066 CEDEX 2,8,$3.06B,Université de Poitiers,France
223,Male,8019,9,$152.46M,European Open University,Netherlands
224,Female,8304,4,n/a,European Open University,Netherlands
225,Female,81373,9,$1.6B,Westsächsische Hochschule Zwickau (FH),Germany
226,Male,81028 CEDEX 9,5,$3.34B,Université François Rabelais de Tours,France
227,Male,2604,6,n/a,International Institute for Geo - Information Science and Earth Observation,Netherlands
228,Female,54412 CEDEX,5,$2.08B,École Nationale Supérieure d'Ingénieurs de Constructions Aéronautiques,France
229,Female,41965 CEDEX 9,6,$195.09M,Ecole Nationale Supérieure de Chimie de Rennes,France
230,Male,4384,8,$304.71M,NTI University,Netherlands
231,Male,77294 CEDEX,3,n/a,Institut des hautes études économiques et commerciales,France
232,Female,47304 CEDEX,6,$296.89M,"Ecole Nationale Supérieure d'Electronique, d'Electrotechnique, d'Informatique et d'Hydraulique de Toulouse",France
233,Male,3109,9,$94.96M,University of Maastricht,Netherlands
234,Female,75706 CEDEX 13,5,$34.01M,Ecole Nationale Supérieure d'Ingenieurs Electriciens de Grenoble,France
235,Male,65951 CEDEX 9,4,$35.67M,Ecole Nationale Supérieure des Mines d'Alès,France
236,Female,59468 CEDEX,4,$2.32B,"Ecole Européenne de Chimie, Polymères et Matériaux de Strasbourg",France
237,Female,94675 CEDEX,1,$10.76B,Institut National des Télécommunications,France
238,Female,84404 CEDEX,5,$6.99B,Institut National des Sciences Appliquées de Lyon,France
239,Male,27929 CEDEX 9,7,$749.53M,Groupe Sup de Co Montpellier,France
240,Male,42659,2,$8.39B,Kirchliche Hochschule Wuppertal,Germany
241,Male,92660 CEDEX,5,$506.48M,Ecole Supérieure de Chimie Physique Electronique de Lyon,France
242,Male,14008 CEDEX 1,5,$600.74M,Ecole Supérieure de Physique et de Chimie Industrielles,France
243,Female,77544 CEDEX,7,$100.76M,Institut de Recherche et d'Enseignement Supérieur aux Techniques de l'électronique,France
244,Male,75976 CEDEX 20,4,$3.18B,Université d'Auvergne (Clermont-Ferrand I),France
245,Female,L-6380,6,$1.49B,International University Institute of Luxembourg,Luxembourg
246,Male,80031 CEDEX 1,4,$52.45B,Ecole Nationale Supérieure de Chimie de Rennes,France
247,Male,75934 CEDEX 19,7,n/a,Ecole Supérieure de Commerce de Clermont-Ferrand,France
248,Male,69303 CEDEX 07,2,$27.02B,Université de Pau et des Pays de l'Adour,France
249,Male,30453,10,$12.15B,"Evangelische Fachhochschule für Sozialpädagogik der ""Diakonenanstalt des Rauhen Hauses"" Hamburg",Germany
250,Female,78093 CEDEX 9,2,n/a,Université de Bretagne Sud,France
251,Female,54516 CEDEX,1,$2.87B,American Graduate School in Paris,France
252,Male,19011 CEDEX,7,n/a,Ecole Supérieure Internationale d'Administration des Entreprises,France
253,Male,88109 CEDEX,7,$1.75B,Université de Bretagne Sud,France
254,Male,1209,9,n/a,Lausanne Hotel School (EHL),Switzerland
255,Female,39304 CEDEX,6,n/a,Ecole Nationale des Sciences Géographiques,France
256,Female,4819,3,$114.27M,Leiden University,Netherlands
257,Male,06173 CEDEX 2,6,$2.18B,École Nationale Supérieure d'Ingénieurs de Constructions Aéronautiques,France
258,Male,14097 CEDEX 9,4,n/a,Institut de Recherche et d'Enseignement Supérieur aux Techniques de l'électronique,France
259,Male,13464 CEDEX 16,7,$5.39B,Université d'Orléans,France
260,Male,75587 CEDEX 12,3,n/a,Université Rennes II - Haute-Bretagne,France
261,Male,92645 CEDEX,0,$452.92M,Ecole d'Ingénieurs en Informatique pour l'Industrie,France
262,Male,69239 CEDEX 02,5,$847.46M,Université Panthéon-Assas (Paris II),France
263,Female,13456 CEDEX 13,5,$431.76M,Ecole Nationale Supérieure des Telecommunications de Bretagne,France
264,Male,31069 CEDEX 7,5,$2.09B,Ecole Supérieure des Sciences et Technologie de l'Ingénieur de Nancy,France
265,Male,73031 CEDEX,7,$106.79M,Ecole Supérieure des Sciences et Technologie de l'Ingénieur de Nancy,France
266,Female,39605 CEDEX,13,$474.2M,Ecole Nationale Supérieure Electricité et Mécanique,France
267,Female,59007 CEDEX,5,$3.52B,Ecole Nationale Supérieur des Ingénieur des Etudes et Techniques d'Armement,France
268,Female,6414,4,n/a,University of Groningen,Netherlands
269,Male,L-5408,1,$7.89B,University of Luxemburg,Luxembourg
270,Male,52109 CEDEX,4,$1.21B,Université Louis Pasteur (Strasbourg I),France
271,Female,L-9170,5,$550.5M,International University Institute of Luxembourg,Luxembourg
272,Female,3309,4,$59.42B,Fontys University of Applied Sciences,Netherlands
273,Male,47139,5,$7.23M,Hochschule Coburg,Germany
274,Male,70567,3,$54.13M,Fachhochschule Köln,Germany
275,Male,44143,5,$14.14B,Fachhochschule Potsdam,Germany
276,Male,1354,5,$463.67M,Tilburg University,Netherlands
277,Female,57204 CEDEX,3,$5.04B,Institut des Sciences de l'Ingénieur de Montpellier,France
278,Female,13540,5,$13.85M,Ecole Nationale Supérieur d'Ingénieurs de Constructions Aéronautique,France
279,Male,89102 CEDEX,2,$7.36M,Ecole Nationale Supérieure de l'Electronique et de ses Applications,France
280,Male,77504 CEDEX,1,$18.77B,Ecole Superieure Robert de Sorbon,France
281,Male,86104 CEDEX,4,n/a,Ecole Nationale Supérieure des Industries Chimiques de Nancy,France
282,Female,07004 CEDEX,9,n/a,Ecole des Hautes Etudes Industrielles de Lille,France
283,Female,L-8069,2,$10.63B,University of Luxemburg,Luxembourg
284,Male,3764,1,$229.8M,European Open University,Netherlands
285,Female,24004 CEDEX,6,$20.84M,Ecole Française d'Electronique et d'Informatique,France
286,Female,68504 CEDEX,5,$1.14B,Ecole Nationale de la Météorologie,France
287,Female,41199,4,n/a,Rheinische Friedrich-Wilhelms Universität Bonn,Germany
288,Female,3109,7,$3.17B,Tilburg University,Netherlands
289,Male,22304 CEDEX,7,$702.27M,Centre de Formation et de Perfectionnement des Journalistes,France
290,Male,34186 CEDEX 4,5,$1.45B,Université Michel de Montaigne (Bordeaux III ),France
291,Female,2409,7,$99.12M,Roosevelt Academy University College,Netherlands
292,Female,91077 CEDEX,3,$301.17M,Ecole Supérieure de Commerce et Management,France
293,Male,34194 CEDEX 5,7,$3.89B,"Ecole Européenne de Chimie, Polymères et Matériaux de Strasbourg",France
294,Male,33619,1,n/a,Deutsche Hochschule für Verwaltungswissenschaften Speyer,Germany
295,Female,07209 CEDEX,4,n/a,Ecole Nationale Supérieure d'Agronomie et des Industries Alimentaires,France
296,Male,59865 CEDEX 9,1,$6.65M,Ecole Nationale Vétérinaire de Lyon,France
297,Male,53085 CEDEX 9,1,$41.02M,Ecole Nationale Supérieure d'Agronomie de Montpellier,France
298,Female,91049 CEDEX,6,$675.47M,Ecole Nationale d'Ingénieurs des Techniques des Industries Agricoles et Alimentaires,France
299,Female,8004,8,$79.27M,International Hotel Management Institute,Switzerland
300,Male,75587 CEDEX 12,6,$1.22B,Ecole Nationale d'Administration,France
301,Female,62411 CEDEX,4,$1.68B,Ecole Supérieure d'Electricité,France
302,Male,77214 CEDEX,4,$1.32B,Université Louis Pasteur (Strasbourg I),France
303,Male,73209 CEDEX,3,$37.35B,Université Blaise Pascal (Clermont-Ferrand II),France
304,Male,92393 CEDEX,2,n/a,Ecole Nationale Supérieure de Chimie de Mulhouse,France
305,Female,04990 CEDEX 9,4,$64.46M,Université Paul Sabatier (Toulouse III),France
306,Male,79304 CEDEX,4,$1.16B,Université de la Méditerranée (Aix Marseille II),France
307,Female,86964 CEDEX,4,$238.33M,Centre de Formation et de Perfectionnement des Journalistes,France
308,Female,75542 CEDEX 11,2,$1.62B,Ecole Normale Supérieure de Lyon,France
309,Female,75949 CEDEX 19,2,$78.86M,Université de Pau et des Pays de l'Adour,France
310,Female,75784 CEDEX 16,9,$58.82B,Université du Havre,France
311,Female,62259 CEDEX,9,$399.95M,Ecole Nationale Supérieure de Physique de Marseille,France
312,Male,13347,7,$69.29M,Fachhochschule München,Germany
313,Female,1094,7,$513.32M,Hanzehogeschool Groningen,Netherlands
314,Male,42809 CEDEX,7,$1.28B,Ecole Nationale Supérieure d'Electrochimie et d'Electrométallurgie de Gernoble,France
315,Male,22111,5,$483.16M,Universität Koblenz-Landau,Germany
316,Male,13841 CEDEX,4,$63.35M,Ecole Supérieure des Sciences et Technologie de l'Ingénieur de Nancy,France
317,Female,79099 CEDEX 9,4,$2.14B,Institut National Polytechnique de Grenoble,France
318,Female,13524 CEDEX,2,n/a,Ecole Spéciale des Travaux Publics du Bâtiment et de l'Industrie,France
319,Female,13841 CEDEX,4,$1.15B,Ecole Nationale Supérieure d'Ingenieurs Electriciens de Grenoble,France
320,Female,54076 CEDEX,4,$183.56M,Université de Cergy-Pontoise,France
321,Male,13503 CEDEX,5,$2.7B,Institut des hautes études économiques et commerciales,France
